Ticker,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,StakeNOK,FeesNOK,PL_NOK,PL_PCT,Reason
DNO.OL,2025-11-28,14.510000228881836,,,572.3179326216509,8304.333333333334,29.0,,,BUY
CADLR.OL,2025-11-28,44.58000183105469,,,186.2793403374983,8304.333333333334,29.0,,,BUY
SOMA.OL,2025-11-28,18.200000762939453,,,456.2820321548225,8304.333333333334,29.0,,,BUY
AUTO.OL,2025-11-28,11.0600004196167,,,750.843853369504,8304.333333333334,29.0,,,BUY
BWE.OL,2025-11-28,37.0,,,224.44144144144147,8304.333333333334,29.0,,,BUY
VAR.OL,2025-11-28,31.6299991607666,,,262.5461129835852,8304.333333333334,29.0,,,BUY
DNO.OL,2025-12-29,15.5600004196167,,,552.6400671873952,8599.07967733287,29.0,,,BUY
CADLR.OL,2025-12-29,48.08000183105469,,,178.8494041150131,8599.07967733287,29.0,,,BUY
SOMA.OL,2025-12-29,17.780000686645508,,,483.6377584502348,8599.07967733287,29.0,,,BUY
AUTO.OL,2025-12-29,11.739999771118164,,,732.4599527239905,8599.07967733287,29.0,,,BUY
BWE.OL,2025-12-29,45.25,,,190.0349099963065,8599.07967733287,29.0,,,BUY
VAR.OL,2025-12-29,32.349998474121094,,,265.81391291909466,8599.07967733287,29.0,,,BUY
