Ticker,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,StakeNOK,FeesNOK,PL_NOK,PL_PCT,Reason
AFG.OL,2025-11-13,170.0,2025-11-24,179.0,29.41176470588235,5000.0,58.0,206.7058823529405,0.0413411764705881,SELL
DNB.OL,2025-11-19,261.100006,2025-12-02,274.700012,19.14975061318076,5000.0,58.0,202.43672323776264,0.0404873446475525,SELL
DNB.OL,2026-01-06,280.799988,2026-02-04,292.100006,45.63466695151713,12814.213932370008,38.0,477.6725579761496,0.0372767740961074,SELL
DNB.OL,2026-02-06,289.700012,2026-02-18,301.899994,43.96496379923931,12736.650540219194,38.0,498.37176698136864,0.0391289503788797,SELL
EPR.OL,2025-11-05,84.5,2025-11-25,88.800003,59.171597633136095,5000.0,58.0,196.43804733727848,0.0392876094674556,SELL
MING.OL,2026-01-06,199.979996,2026-02-16,209.149994,64.05372631555612,12809.463932370008,38.0,549.372542206198,0.0428880197568543,SELL
PROT.OL,2025-11-07,448.5,2025-11-21,471.0,11.148272017837236,5000.0,58.0,192.8361204013381,0.0385672240802676,SELL
SB1NO.OL,2025-11-19,171.800003,2025-12-02,181.399994,29.10360833928507,5000.0,58.0,221.39437812466167,0.0442788756249323,SELL
SBNOR.OL,2026-01-20,189.259995,2026-02-06,196.880005,66.91565606032083,12664.45673139804,38.0,471.8979683362068,0.0372616037422486,SELL
SBNOR.OL,2026-02-10,197.080002,2026-02-20,205.300003,65.23707505721215,12856.922882749523,38.0,498.2488222073571,0.03875334920736523,SELL
STB.OL,2025-11-19,156.399994,2025-12-10,164.699997,31.969310689359748,5000.0,58.0,207.34537462961816,0.0414690749259236,SELL
VEI.OL,2026-01-05,175.800003,2026-01-16,183.0,28.441410208622123,5000.0,38.0,166.77806817784858,0.0333556136355697,SELL
